_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
8814,,8,100,4,3,4,03/15/2019,4,3,4,3,4,5,4,4,4,4,17,,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154340,75,4,1630  LAWRENCE AVE W,3,,5,4,1994,2017
8815,,3,12,,3,3,11/06/2019,3,3,3,2,,3,2,2,2,2,15,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155190,55,3,872  WESTON RD ,3,,5,4,1956,
8816,,3,17,,4,4,12/19/2018,4,4,4,4,,5,5,4,4,4,15,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4155195,83,5,15  GRAY AVE ,4,,5,4,1958,2017
8817,4,8,63,4,4,4,11/06/2019,4,4,4,4,4,5,4,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155198,81,5,898  JANE ST ,4,,5,3,1960,2017
8818,3,3,25,,3,3,03/15/2019,4,3,3,4,,5,3,3,3,3,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155221,67,3,620  EVANS AVE ,3,3,3,4,1970,2017
8819,4,15,145,4,5,4,12/09/2019,4,4,4,4,4,5,3,3,3,,18,5,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156163,80,4,50  HOLLY ST ,4,,12,4,1967,2017
8820,3,15,300,3,3,3,01/16/2020,3,3,3,3,2,2,4,3,3,3,19,3,4,TCHC,Evaluation needs to be conducted in 1 year,4156181,60,3,285  SHUTER ST ,2,,13,4,1964,2017
8821,4,24,284,4,3,4,02/28/2019,3,4,4,4,4,5,4,4,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152597,78,4,20  TEESDALE PL ,4,4,20,4,1970,2017
8822,4,24,285,4,4,4,02/28/2019,4,4,3,4,3,3,4,3,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152598,75,4,10  TEESDALE PL ,4,4,20,4,1968,2017
8823,,3,11,,4,4,03/06/2019,4,4,4,4,,5,2,4,4,4,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152602,78,4,1043  VICTORIA PARK AVE ,4,4,20,3,1960,2019
8824,4,4,30,,4,4,11/21/2019,4,3,4,3,,5,5,4,5,3,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152622,81,5,9  CRAIGTON DR ,4,4,21,4,1956,2017
8825,4,4,27,,3,4,01/10/2019,3,3,3,3,,5,3,4,4,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152623,71,4,15  CRAIGTON DR ,3,4,21,4,1958,2017
8826,5,14,165,4,4,5,11/28/2019,4,5,4,5,4,5,5,4,3,4,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152848,85,5,280  MORNINGSIDE AVE ,3,,24,3,1972,2017
8827,4,13,293,4,3,4,01/02/2018,5,3,3,4,4,5,3,4,4,4,19,4,3,TCHC,Evaluation needs to be conducted in 2 years,4152854,77,4,2008  PHARMACY AVE ,4,,22,4,1975,2017
8828,5,13,188,3,5,4,11/27/2019,5,4,5,4,4,3,5,5,4,4,20,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152856,84,5,375  BAY MILLS BLVD ,2,4,22,5,1971,2017
8829,4,21,281,5,5,5,11/27/2019,4,4,5,5,4,5,5,5,5,5,20,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152859,93,5,25  BAY MILLS BLVD ,5,5,22,4,1974,2017
8830,4,14,175,5,4,4,12/10/2019,4,5,4,4,4,5,5,4,4,5,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152864,87,5,10  BRIDLETOWNE CRCL ,4,,22,4,1974,2017
8831,4,5,44,5,4,5,12/10/2019,4,4,4,5,5,5,5,4,5,5,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152867,89,5,2237  BIRCHMOUNT RD ,3,4,22,5,1967,2017
8832,5,13,300,5,4,5,12/10/2019,5,4,4,5,5,5,4,5,3,5,19,5,3,TCHC,Evaluation needs to be conducted in 3 years,4152872,91,5,3825  SHEPPARD AVE E,4,,22,5,1975,2017
8833,5,15,195,3,4,4,11/27/2019,5,4,5,4,4,5,5,3,5,4,18,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152878,87,5,30  CARABOB CRT ,5,,22,5,1971,2017
8834,4,26,209,4,4,4,12/02/2019,4,5,5,4,4,5,4,3,3,5,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153759,83,5,265  BALLIOL ST ,3,5,12,4,1968,2017
8835,4,18,263,5,5,5,12/02/2019,4,5,5,4,4,5,5,4,5,4,20,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4153762,91,4,45  BALLIOL ST ,4,4,12,5,1966,2017
8836,4,10,283,3,4,4,01/10/2018,4,4,4,4,3,4,4,4,3,4,19,3,4,TCHC,Evaluation needs to be conducted in 2 years,4154702,76,4,35  PARK HOME AVE ,4,,18,4,1974,2017
8837,,14,239,3,4,4,01/09/2018,4,4,4,3,4,5,4,4,3,4,18,4,3,TCHC,Evaluation needs to be conducted in 2 years,4154705,76,4,5430  YONGE ST ,4,,18,3,1986,2017
8838,3,4,30,3,3,5,11/06/2019,2,5,5,2,,3,5,3,5,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154711,72,5,296  FINCH AVE W,5,2,18,3,1962,2020
8839,4,14,389,4,3,3,01/04/2018,4,3,4,4,3,5,4,3,3,4,19,4,3,TCHC,Evaluation needs to be conducted in 2 years,4154723,72,3,6250  BATHURST ST ,3,,6,4,1972,2017
8840,4,19,136,5,3,5,10/28/2019,3,4,3,4,5,5,4,3,5,4,20,4,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154730,79,5,17  FARMSTEAD RD ,5,3,15,3,1970,2017
8841,5,7,84,5,3,5,10/28/2019,3,5,3,4,5,5,4,5,5,5,20,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154733,89,5,44  STUBBS DR ,5,5,15,4,1974,2017
8842,4,24,184,4,3,4,12/18/2018,3,3,4,4,3,5,3,3,3,3,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155225,67,3,8  LOMOND DR ,3,3,3,3,1973,2017
8843,4,4,35,,4,4,10/30/2019,3,2,3,4,,5,2,3,2,3,17,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155232,67,5,1  HEATHERDALE RD ,3,4,3,4,1950,2017
8844,5,4,25,,4,3,03/04/2019,3,4,3,5,,5,4,4,3,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155235,75,4,169  BERRY RD ,4,3,3,3,1958,2017
8845,4,4,32,,4,4,02/04/2019,3,4,3,4,,5,4,4,3,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155239,74,4,317  PARK LAWN RD ,3,,3,3,1953,2017
8846,5,4,30,,3,3,10/30/2019,2,3,2,4,,5,4,3,3,2,16,,4,PRIVATE,Evaluation needs to be conducted in 1 year,4155240,65,3,187  BERRY RD ,3,,3,3,1954,2017
8847,4,4,23,,3,3,03/13/2019,3,2,3,3,,4,4,4,3,3,17,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155242,65,4,10  KINSDALE BLVD ,3,3,3,3,1959,2017
8848,3,4,23,,3,3,01/22/2019,3,3,3,4,,5,4,4,3,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155244,67,3,179  BERRY RD ,4,3,3,3,1953,2017
8849,4,3,180,,4,4,11/29/2019,3,4,3,4,,5,4,3,4,3,17,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155978,75,4,47  GENERATION BLVD ,4,,25,4,1975,2017
8850,,3,23,,3,3,01/30/2019,4,4,4,4,,5,3,4,3,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156367,73,4,4  GREENBROOK DR ,3,,5,4,1954,2017
8851,,4,13,5,4,4,01/18/2019,4,4,5,4,,5,4,4,3,5,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156370,82,5,5  BEXHILL CRT ,3,4,2,3,1952,2017
8852,5,7,129,5,4,5,12/09/2019,5,4,5,4,3,5,4,5,5,4,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156383,92,5,106  GOODWOOD PARK CRT ,5,5,19,5,1961,2017
8853,,5,48,4,4,3,11/04/2019,4,4,4,4,,5,4,3,4,3,17,4,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153030,78,5,149  JAMESON AVE ,3,4,4,4,1910,2017
8854,,4,16,,2,2,12/12/2019,3,3,3,3,,3,2,2,2,2,14,,,PRIVATE,Building Audit,4153038,50,3,1340  KING ST W,2,,4,3,1890,2020
8855,5,18,102,4,5,5,12/03/2019,4,4,4,4,3,5,5,4,4,4,20,4,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153501,84,5,100  MAITLAND ST ,4,4,13,4,1965,2017
8856,4,3,26,,4,4,01/04/2019,4,4,4,4,,5,4,4,4,4,15,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153504,81,4,138  WELLESLEY ST E,4,,13,4,1928,2017
8857,,3,21,,4,4,02/28/2019,3,3,3,3,,5,4,4,4,3,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154002,76,5,166  EASTBOURNE AVE ,4,,12,4,1940,2017
8858,3,3,21,,4,3,02/28/2019,3,3,3,3,,5,4,3,4,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154003,69,5,486  ORIOLE PKWY ,3,3,12,4,1930,2017
8859,5,4,40,4,5,4,11/27/2019,4,4,4,5,4,5,4,4,5,5,19,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154005,86,5,990  AVENUE RD ,4,4,12,4,1965,2017
8860,5,12,272,4,4,4,11/20/2019,4,4,4,4,4,5,4,4,5,4,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154025,85,5,3000  YONGE ST ,4,5,8,4,1955,2017
8861,,4,41,4,3,3,01/25/2019,5,3,4,3,,4,4,4,4,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154027,75,5,3112  YONGE ST ,3,,8,4,1957,2017
8862,,3,26,,4,3,11/20/2019,4,4,4,5,,5,3,3,4,3,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154029,76,5,41  LORINDALE AVE ,3,,8,4,1957,2017
8863,4,3,12,,2,4,02/20/2019,3,4,4,3,,5,3,4,4,3,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154526,74,4,26  HOTSPUR RD ,4,,8,4,1957,2017
8864,4,15,171,4,4,5,02/01/2019,3,3,3,3,3,4,4,3,4,5,19,4,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154534,74,4,125  NEPTUNE DR ,5,,8,3,1974,2017
8865,3,3,11,,5,4,01/15/2019,3,4,3,4,,5,4,5,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154538,81,5,104  RAJAH ST ,5,3,8,4,1967,2017
8866,4,3,11,,4,5,12/03/2019,3,4,3,4,,5,4,4,5,4,16,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154541,83,5,65  WASDALE CRES ,5,,8,3,1956,2020
8867,3,8,112,4,4,4,01/03/2018,4,3,3,2,2,4,3,3,4,3,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154917,68,4,1300  YORK MILLS RD ,3,,16,4,1965,2017
8868,3,7,73,5,4,4,03/06/2019,3,4,4,4,4,5,5,4,3,4,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154919,79,5,1274  YORK MILLS RD ,4,,16,3,1970,2017
8869,5,5,40,1,4,3,12/11/2018,3,4,4,4,,5,2,3,4,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155429,68,5,2329  KIPLING AVE ,3,3,1,2,1968,2017
8870,3,3,18,,4,3,10/28/2019,4,3,2,3,,5,3,3,4,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155430,68,5,2386  ISLINGTON AVE ,2,,1,4,1960,2017
8871,2,3,16,,3,3,10/28/2019,4,3,3,4,,5,3,3,3,3,17,,5,PRIVATE,Evaluation needs to be conducted in 2 years,4155432,71,5,30  TORBOLTON DR ,3,3,1,5,1960,2017
8872,4,12,92,3,4,4,03/15/2019,4,4,4,3,4,5,3,3,4,5,18,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155461,76,4,1865  MARTIN GROVE RD ,4,,1,4,1960,2017
8873,5,6,84,5,5,5,11/07/2019,5,4,4,5,5,5,5,5,5,5,20,4,5,PRIVATE,Evaluation needs to be conducted in 3 years,4155850,97,5,3810  BATHURST ST ,5,5,6,5,2005,2017
8874,,3,34,,3,3,02/21/2019,3,3,3,5,,5,4,4,3,2,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4156002,70,4,1798  EGLINTON AVE W,3,,8,4,1937,2017
8875,3,17,216,4,4,4,01/04/2018,4,4,3,4,4,5,4,4,4,2,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156727,73,4,100  PARKWAY FOREST DR ,3,,17,3,1967,2017
8876,3,20,210,4,3,3,03/19/2019,3,3,3,3,3,3,3,3,3,3,18,,4,TCHC,Evaluation needs to be conducted in 1 year,4156756,63,4,2468  EGLINTON AVE W,3,,5,3,1989,2017
8877,5,4,54,,3,3,01/14/2019,4,4,3,4,,5,4,3,2,2,17,,5,PRIVATE,Evaluation needs to be conducted in 2 years,4152637,74,5,1601  VICTORIA PARK AVE ,3,3,21,5,1954,2019
8878,4,6,85,5,4,4,11/21/2019,4,4,4,4,,5,5,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152646,84,5,1749  VICTORIA PARK AVE ,4,4,21,4,1962,2017
8879,,3,12,5,3,3,01/07/2019,3,2,2,3,,4,3,3,4,,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153041,61,3,1  ELM GROVE AVE ,3,,4,2,1931,2018
8880,,3,12,,4,4,01/03/2019,4,3,3,4,,5,4,4,3,3,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153043,71,3,3  ELM GROVE AVE ,3,3,4,3,1931,2019
8881,4,8,38,4,4,4,12/17/2018,4,4,4,3,4,5,3,4,3,4,19,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153047,77,4,109  INDIAN RD ,4,3,4,4,1970,2017
8882,,3,18,,3,3,12/19/2018,3,3,3,3,,5,3,4,4,3,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153059,69,4,34  NOBLE ST ,4,,4,3,1935,2017
8883,3,25,260,5,5,5,11/27/2019,3,4,4,3,3,5,5,4,4,4,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153537,82,5,25  ST MARY ST ,5,,13,3,1965,2017
8884,,4,28,,4,3,02/25/2019,4,4,4,3,,5,4,4,4,4,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153545,79,4,96  ISABELLA ST ,4,,13,4,1917,2017
8885,5,7,122,5,4,5,12/09/2019,5,4,5,5,4,5,5,5,5,5,19,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154034,96,5,104  GOODWOOD PARK CRT ,5,5,19,5,1960,2017
8886,4,4,43,5,4,4,12/04/2019,4,4,4,4,,5,4,4,4,5,18,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154038,82,4,540  DAWES RD ,4,4,19,3,1959,2017
8887,4,4,34,,3,4,12/20/2018,4,4,3,4,,5,3,3,3,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154040,71,3,514  DAWES RD ,3,,19,4,1950,2017
8888,,4,31,,4,3,12/09/2019,5,4,5,3,,5,5,5,5,4,15,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154065,87,5,2908  ST CLAIR AVE E,4,,19,5,1950,2017
8889,4,4,34,,4,4,12/13/2018,4,4,4,4,,4,4,4,4,3,16,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154066,79,4,2892  ST CLAIR AVE E,4,,19,4,1955,2017
8890,3,3,11,,5,3,02/05/2019,3,3,4,4,,5,2,4,4,3,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154548,72,4,33  WASDALE CRES ,4,3,8,4,1960,2017
8891,,3,29,,4,4,11/20/2019,3,3,4,2,,5,5,4,4,4,15,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154565,75,4,568  LAWRENCE AVE W,4,,8,3,1954,2017
8892,3,3,10,,3,3,11/18/2019,3,3,3,3,,5,3,3,3,3,16,,3,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4154571,64,3,409  WILSON AVE ,3,,6,4,1958,2017
8893,4,4,33,,4,4,03/07/2019,4,4,4,4,,4,4,4,4,3,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154579,76,4,8  VINCI CRES ,3,3,6,4,1960,2017
8894,3,3,55,,3,4,03/12/2019,3,3,4,4,,5,3,2,4,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154582,69,4,490  WILSON AVE ,4,3,6,3,1955,2017
8895,,3,11,,4,5,03/04/2019,4,4,4,4,,5,4,4,4,4,16,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154583,83,4,9  ROSSEAU RD ,4,4,6,4,1955,2017
8896,,4,32,,4,4,03/13/2019,4,4,4,2,,5,3,4,4,4,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154933,76,4,14  TICHESTER RD ,4,,12,3,1938,2017
8897,3,4,24,,3,3,03/12/2019,3,3,3,3,,5,3,3,4,3,16,,,PRIVATE,Evaluation needs to be conducted in 1 year,4154944,64,4,1580  BATHURST ST ,3,2,12,3,1940,2017
8898,,4,24,,3,3,03/12/2019,3,3,3,3,,4,3,4,4,3,15,,,PRIVATE,Evaluation needs to be conducted in 1 year,4154945,65,4,1576  BATHURST ST ,3,3,12,3,1940,2017
8899,,4,36,,4,3,11/28/2019,3,4,4,4,,4,4,4,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154948,73,5,1560  BATHURST ST ,4,3,12,3,1926,2017
8900,,5,25,,3,3,11/28/2019,3,3,4,3,,5,2,4,3,3,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154950,67,5,1550  BATHURST ST ,4,2,12,3,1940,2017
8901,,4,32,,4,4,02/26/2019,4,4,4,4,,5,4,4,3,,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154958,77,4,125  VAUGHAN RD ,3,,12,3,1950,2017
8902,3,16,204,5,4,4,01/16/2020,3,3,4,2,3,5,4,4,3,3,18,,3,TCHC,Evaluation needs to be conducted in 2 years,4155468,71,5,900  QUEENS PLATE DR ,2,,1,4,1994,2017
8903,4,7,300,4,4,3,12/13/2018,4,3,4,3,4,4,4,4,4,4,20,3,3,TCHC,Evaluation needs to be conducted in 2 years,4155470,74,4,100  CAVELL AVE ,4,3,3,4,1977,2017
8904,,3,23,,3,3,10/31/2019,3,4,3,4,,5,3,3,3,3,15,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155483,71,5,26  ALBERT AVE ,3,,3,4,1950,2017
8905,3,3,31,,3,3,11/28/2019,3,3,2,5,,3,4,3,4,3,16,,3,TCHC,Evaluation needs to be conducted in 1 year,4155854,65,4,3939  LAWRENCE AVE E,2,,24,4,1970,2018
8906,4,26,283,5,5,5,10/29/2019,5,5,4,4,5,5,4,5,5,,19,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4155855,95,4,3  SUMMERLAND TER ,5,5,3,5,2012,2017
8907,2,4,24,3,3,3,01/14/2019,2,3,3,3,,5,3,4,3,3,18,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155858,63,5,41  SPADINA RD ,3,3,11,3,1905,2017
8908,4,4,56,4,4,3,01/10/2018,4,4,4,4,3,5,3,4,4,4,18,,4,TCHC,Evaluation needs to be conducted in 2 years,4155866,77,4,50  MATILDA ST ,3,,14,4,2008,2017
8909,4,3,13,,4,4,12/13/2019,4,3,3,4,,5,4,4,3,4,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155874,76,5,5  BIRCHLEA AVE ,3,,3,4,1955,
8910,5,16,230,4,3,4,11/04/2019,3,3,3,4,4,5,4,3,4,3,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155883,73,4,66  PACIFIC AVE ,3,,4,4,1965,2017
8911,3,15,118,3,4,3,11/19/2019,4,4,4,3,3,5,3,4,4,3,20,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156420,72,3,365  GRANDRAVINE DR ,4,4,7,4,1971,2017
8912,4,6,43,5,4,5,11/21/2019,3,4,4,3,,5,4,4,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152651,81,4,1725  LAWRENCE AVE E,4,,21,4,1960,2017
8913,4,7,103,4,3,3,01/11/2019,3,4,4,4,3,4,3,3,4,3,19,3,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152652,68,3,1765  LAWRENCE AVE E,3,,21,4,1964,2017
8914,,3,18,,4,4,11/20/2019,5,4,4,3,,5,5,4,5,5,15,,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152669,88,5,644  KENNEDY RD ,5,,20,5,1954,2019
8915,4,6,65,4,4,4,12/06/2018,4,4,4,4,,4,4,4,4,4,17,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152676,79,4,829  BIRCHMOUNT RD ,4,,20,4,1961,2017
8916,,3,19,,4,4,11/21/2019,2,4,4,4,,5,3,3,4,4,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153094,75,5,767  DOVERCOURT RD ,4,3,9,3,2008,2017
8917,,4,16,,4,4,03/06/2019,4,4,4,4,,5,4,5,4,4,15,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153095,83,4,220  DELAWARE AVE ,4,,9,4,1930,2017
8918,,18,275,3,4,5,02/25/2019,4,4,3,3,3,3,3,5,3,5,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153102,73,5,730  ST CLARENS AVE ,3,3,9,4,1974,2017
8919,3,4,13,,3,4,11/16/2017,3,3,4,3,,5,3,3,3,3,17,3,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153106,66,4,223  OSLER ST ,3,,9,3,1992,2017
8920,,4,23,,3,3,02/28/2019,3,3,3,3,,4,3,2,3,2,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153113,59,4,921  ST CLAIR AVE W,2,,9,3,1930,2017
8921,,3,20,,4,4,01/16/2019,4,3,4,4,4,3,4,4,3,,15,,4,TCHC,Evaluation needs to be conducted in 2 years,4153567,75,4,123  SACKVILLE ST ,3,,13,4,1985,2017
8922,,4,29,3,4,3,01/10/2018,4,3,4,3,3,4,3,4,3,4,18,4,4,TCHC,Evaluation needs to be conducted in 2 years,4153576,72,4,859  DUNDAS ST E,4,,14,4,1973,2017
8923,,4,15,,3,3,02/05/2019,2,4,4,4,,5,3,3,3,3,15,,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153580,64,4,26  GIFFORD ST ,2,,13,2,1930,2017
8924,4,4,20,,4,4,12/18/2018,3,4,3,4,,5,3,3,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154079,74,4,327  CHISHOLM AVE ,3,4,19,3,1962,2018
8925,5,6,61,4,5,4,10/04/2017,5,5,5,4,5,5,4,4,5,5,19,5,5,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154082,94,4,1430  WOODBINE AVE ,5,,19,5,1992,2017
8926,4,4,42,,4,4,12/04/2019,3,4,5,4,,5,5,4,4,4,17,,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154084,86,5,470  MORTIMER AVE ,4,5,14,5,1957,2017
8927,4,8,254,3,4,3,01/15/2018,4,3,4,4,3,5,4,3,4,4,19,4,4,TCHC,Evaluation needs to be conducted in 2 years,4154086,76,4,266  DONLANDS AVE ,4,,14,4,1986,2017
8928,5,4,58,3,3,2,11/07/2019,3,4,2,5,,5,4,4,3,4,18,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154596,73,5,3880  BATHURST ST ,3,4,6,3,1960,2017
8929,4,4,29,,4,3,03/13/2019,3,4,4,3,,5,3,3,4,3,17,,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154600,71,3,3908  BATHURST ST ,3,3,6,4,1960,2017
8930,4,6,50,4,4,4,02/14/2019,4,4,4,4,,5,3,4,4,4,18,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154610,78,3,4340  BATHURST ST ,4,3,6,5,1960,2017
8931,3,7,61,3,3,3,11/07/2019,3,3,3,3,3,4,3,3,3,3,18,,3,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4154620,63,5,15  TORRESDALE AVE ,3,,6,3,1994,2017
8932,3,12,133,4,4,4,01/14/2019,4,3,3,3,3,5,3,4,3,3,19,3,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154622,72,4,5950  BATHURST ST ,4,,6,4,1964,2017
8933,4,7,51,3,4,4,01/09/2018,3,3,4,4,4,5,4,4,4,4,18,,3,TCHC,Evaluation needs to be conducted in 2 years,4154968,74,4,154  VAUGHAN RD ,3,,12,3,1983,2017
8934,,4,39,,4,3,03/07/2019,3,3,3,4,,5,2,3,3,3,16,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155003,66,5,1996  BATHURST ST ,3,3,12,3,1949,2017
8935,,3,25,,4,4,10/30/2019,2,4,3,3,,5,3,3,4,3,15,,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155525,68,3,70  FIFTEENTH ST ,4,,3,4,1955,2017
8936,,4,11,,4,4,03/01/2019,3,4,3,3,,4,4,4,3,3,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155906,71,3,966  ST CLAIR AVE W,4,,9,4,1940,2017
8937,,8,145,5,3,5,11/27/2019,5,5,4,5,5,5,5,3,5,4,19,5,3,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156049,87,3,1680  ELLESMERE RD ,5,3,24,5,1994,2017
8938,3,17,202,4,4,4,01/17/2019,3,3,4,4,4,5,3,4,4,4,19,,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156071,75,4,6040  BATHURST ST ,4,3,6,4,1970,2017
8939,4,3,14,,4,5,01/16/2018,4,4,4,3,,5,4,4,4,,15,,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156073,81,4,17  DURNFORD RD ,4,,25,4,1992,2018
8940,5,27,301,5,5,5,12/20/2019,5,5,5,5,5,5,5,5,5,,19,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4697372,100,5,55  SMOOTH ROSE CRT ,5,5,17,5,2019,2019
8941,,3,12,,4,4,02/15/2019,3,4,3,3,,5,4,4,4,4,16,,5,PRIVATE,Evaluation needs to be conducted in 2 years,4457092,78,4,1131  O'CONNOR DR ,4,4,19,3,1951,
8942,,3,30,,4,4,01/09/2019,3,4,4,4,,4,4,4,4,4,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4415827,79,4,438  JARVIS ST ,4,,13,4,1928,2018
